2026-07-22 11:06:37 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 11:06:38 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 11:06:38 | INFO | agents.chat_service | Initializing Chat Service...
2026-07-22 11:06:38 | INFO | agents.chat_service | Received query for session 'session_001'.
2026-07-22 11:06:38 | INFO | agents.dependencies | Initializing agent dependencies.
2026-07-22 11:06:38 | INFO | ingestion.embedder | Initializing Cohere embedding model: embed-english-v3.0
2026-07-22 11:06:39 | INFO | ingestion.embedder | Embedding model initialized successfully.
2026-07-22 11:06:39 | INFO | ingestion.vector_store | Loading vector store from D:\HR-IT-Policy-Assistant\data\chroma_db
2026-07-22 11:06:40 | INFO | ingestion.vector_store | Vector store loaded successfully.
2026-07-22 11:06:40 | INFO | agents.dependencies | Agent dependencies initialized successfully.
2026-07-22 11:06:40 | INFO | agents.chat_service | Running Policy Agent...
2026-07-22 11:06:41 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-07-22 11:06:42 | INFO | agents.tool_registry | Leave Calculator Tool invoked.
2026-07-22 11:06:42 | INFO | utils.audit_logger | TOOL INVOKED: Leave Calculator Tool
2026-07-22 11:06:42 | INFO | agents.tool_registry | Retriever Tool invoked for query: earned leave accrual rate
2026-07-22 11:06:42 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 11:06:42 | INFO | agents.tool_registry | Retriever Tool invoked for query: earned leave policy
2026-07-22 11:06:42 | INFO | tools.calculator_tool | Leave balance calculated: 15.00
2026-07-22 11:06:42 | INFO | tools.retriever_tool | PolicyRetrieverTool invoked.
2026-07-22 11:06:42 | INFO | utils.audit_logger | TOOL INVOKED: Policy Retriever Tool
2026-07-22 11:06:42 | INFO | agents.tool_registry | Leave Balance: 15.00
2026-07-22 11:06:42 | INFO | tools.retriever_tool | Query: earned leave accrual rate
2026-07-22 11:06:42 | INFO | tools.retriever_tool | PolicyRetrieverTool invoked.
2026-07-22 11:06:42 | INFO | ingestion.retriever | Retrieving documents for query: earned leave accrual rate
2026-07-22 11:06:42 | INFO | tools.retriever_tool | Query: earned leave policy
2026-07-22 11:06:42 | INFO | ingestion.retriever | Retrieving documents for query: earned leave policy
2026-07-22 11:06:43 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-07-22 11:06:43 | INFO | httpx | HTTP Request: POST https://api.cohere.com/v1/embed "HTTP/1.1 200 OK"
2026-07-22 11:06:43 | INFO | ingestion.retriever | Retrieved 5 candidate chunks.
2026-07-22 11:06:43 | INFO | ingestion.retriever | 0 chunks passed the grounding threshold.
2026-07-22 11:06:43 | WARNING | tools.retriever_tool | No documents passed the grounding threshold.
2026-07-22 11:06:43 | INFO | agents.tool_registry | Retriever returned 347 chunk(s).
2026-07-22 11:06:43 | INFO | ingestion.retriever | Retrieved 5 candidate chunks.
2026-07-22 11:06:43 | INFO | ingestion.retriever | 0 chunks passed the grounding threshold.
2026-07-22 11:06:43 | WARNING | tools.retriever_tool | No documents passed the grounding threshold.
2026-07-22 11:06:43 | INFO | agents.tool_registry | Retriever returned 347 chunk(s).
2026-07-22 11:14:43 | INFO | agents.policy_agent | Initializing Policy Agent...
2026-07-22 11:14:43 | INFO | agents.policy_agent | Policy Agent initialized successfully.
2026-07-22 11:14:43 | INFO | agents.chat_service | Initializing Chat Service...
2026-07-22 11:14:43 | INFO | agents.chat_service | Received query for session 'session_001'.
